vesion,title,description,link,id,ns1:item_group_id,title2,link3,description4,ns1:google_product_category,ns1:l2_category,ns1:product_type,ns1:image_link,ns1:condition,ns1:size,ns1:color,ns1:availability,ns1:price,ns1:brand,ns1:shipping,ns1:sale_price,ns1:totaldiscount,ns1:pattern,ns1:adult,ns1:custom_label_3,ns1:custom_label_2,ns1:custom_label_4,ns1:gtin,ns1:gender,ns1:material
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141225,200141589,THE VANCA Women Polyester Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Polyester-Dress/p-200141225,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Polyester Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/hf7/h8b/8813310509086/200141589_9212.jpg_230Wx334H,new,M,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141226,200141589,THE VANCA Women Polyester Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Polyester-Dress/p-200141226,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Polyester Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/hf7/h8b/8813310509086/200141589_9212.jpg_230Wx334H,new,L,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141227,200141589,THE VANCA Women Polyester Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Polyester-Dress/p-200141227,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Polyester Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/hf7/h8b/8813310509086/200141589_9212.jpg_230Wx334H,new,XL,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141231,200141590,THE VANCA Women Polyester Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Polyester-Dress/p-200141231,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Polyester Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/ha7/hda/8814149107742/200141590_8688.jpg_230Wx334H,new,XL,Black,in stock,1899 INR,THE VANCA,IN,570 INR,1329 INR,,N,Y,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141233,200141591,THE VANCA Women Polyester Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Polyester-Dress/p-200141233,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Polyester Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/haf/he3/8934729383966/200141591_8688.png_230Wx334H,new,M,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141234,200141591,THE VANCA Women Polyester Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Polyester-Dress/p-200141234,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Polyester Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/haf/he3/8934729383966/200141591_8688.png_230Wx334H,new,L,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141235,200141591,THE VANCA Women Polyester Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Polyester-Dress/p-200141235,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Polyester Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/haf/he3/8934729383966/200141591_8688.png_230Wx334H,new,XL,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141248,200141595,THE VANCA Women Georgette Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Georgette-Dress/p-200141248,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Georgette Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h1c/hc2/8934066126878/200141595_8688.png_230Wx334H,new,S,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141249,200141595,THE VANCA Women Georgette Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Georgette-Dress/p-200141249,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Georgette Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h1c/hc2/8934066126878/200141595_8688.png_230Wx334H,new,M,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200141251,200141595,THE VANCA Women Georgette Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Georgette-Dress/p-200141251,flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Women Georgette Dress,2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h1c/hc2/8934066126878/200141595_8688.png_230Wx334H,new,XL,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
